,municipality,county,state,road_name,extended_name,opening_hours,contact_mobile,winter_room,capacity,website,email,boundingbox,display_name,type_description,geometry
0,Comunità della Valle di Sole,Provincia di Trento,Trentino-Alto Adige/Südtirol,Vioz,Rifugio Mantova al Vioz,Jun 20-Sep 20,+39 339 2798826,yes,30,http://www.rifugiovioz.it/,info@rifugiovioz.it,"['46.3990888', '46.3993132', '10.635659', '10.6359009']","Rifugio Mantova al Vioz, Vioz, Peio, Comunità della Valle di Sole, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38024, Italia",alpine_hut,POINT (10.63577995 46.399201)
1,Pustertal - Val Pusteria,Bolzano - Bozen,Trentino-Alto Adige/Südtirol,Cresta Strenta - Lichtenfelser Weg,Rifugio Boé,Jun 20-Sep 20,+39 349 5730110,yes,69,http://www.rifugioboe.it/,rifugioboe@gmail.com,"['46.5144808', '46.5147432', '11.8229854', '11.8235903']","Rifugio Boé, Cresta Strenta - Lichtenfelser Weg, Corvara in Badia - Corvara, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39033, Italia",alpine_hut,POINT (11.823281477977112 46.5146145)
2,Gemeinde Gries am Brenner,Bezirk Innsbruck-Land,Tirol,Geistbeckweg,Europahütte - Rifugio Europa,Jun-Sep,,,65,http://www.europahütte.it,info@europahütte.it,"['46.9970439', '46.9972245', '11.5804487', '11.5807982']","Europahütte - Rifugio Europa, Geistbeckweg, Gemeinde Vals, Gemeinde Gries am Brenner, Bezirk Innsbruck-Land, Tirol, Österreich",restaurant,POINT (11.580679315482238 46.997178000000005)
3,Comunità della Valle di Sole,Provincia di Trento,Trentino-Alto Adige/Südtirol,Fünklegrat,Rifugio Guido Larcher al Cevedale,Jun 20-Sep 20,,yes,80,,info@rifugiocevedale.it,"['46.4368329', '46.4370065', '10.665907', '10.6661974']","Rifugio Guido Larcher al Cevedale, Fünklegrat, Peio, Comunità della Valle di Sole, Provincia di Trento, Trentino-Alto Adige/Südtirol, 39020, Italia",alpine_hut,POINT (10.666052196956358 46.4369195)
4,Pustertal - Val Pusteria,Bolzano - Bozen,Trentino-Alto Adige/Südtirol,Pisciadústeig - Via Ferrata Brigata Tridentina,Utia Pisciadù - Pisciadùhütte - Rifugio Franco Cavazza al Pisciadù,,,,176,,,"['46.5363146', '46.5365285', '11.8216575', '11.8219519']","Utia Pisciadù - Pisciadùhütte - Rifugio Franco Cavazza al Pisciadù, Pisciadústeig - Via Ferrata Brigata Tridentina, Corvara in Badia - Corvara, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39033, Italia",alpine_hut,POINT (11.821804604915732 46.5364216)
5,Primiero San Martino di Castrozza,Provincia di Trento,Trentino-Alto Adige/Südtirol,Ferrata Bolver Lugli,"Rifugio Rosetta ""Giovanni Pedrotti""",Jun 20-Sep 20,+39 347 0498929,yes,70,http://www.rifugiorosetta.it/,lottmariano@libero.it,"['46.2673588', '46.2675184', '11.8388504', '11.8391925']","Rifugio Rosetta ""Giovanni Pedrotti"", Ferrata Bolver Lugli, San Martino di Castrozza, Primiero San Martino di Castrozza, Comunità di Primiero, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",alpine_hut,POINT (11.839020285727429 46.26742225)
6,Burggrafenamt - Burgraviato,Bolzano - Bozen,Trentino-Alto Adige/Südtirol,Ultner Höhenweg,Höchsterhütte am Grünsee - Rifugio Canziani al Lago Verde,,,,,,,"['46.4822711', '46.4823711', '10.7991169', '10.7992169']","Höchsterhütte am Grünsee - Rifugio Canziani al Lago Verde, Ultner Höhenweg, Ulten - Ultimo, Burggrafenamt - Burgraviato, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39016, Italia",restaurant,POINT (10.7991669 46.4823211)
7,Pustertal - Val Pusteria,Bolzano - Bozen,Trentino-Alto Adige/Südtirol,Roda de Valun - Valun Rundweg - Giro del Valun,Ütia Franz Kostner al Valun,Apertura 2021- 12/06-3/10,,,,,,"['46.5185431', '46.5186804', '11.8484036', '11.8485734']","Ütia Franz Kostner al Valun, Roda de Valun - Valun Rundweg - Giro del Valun, Corvara in Badia - Corvara, Pustertal - Val Pusteria, Bolzano - Bozen, Trentino-Alto Adige/Südtirol, 39033, Italia",alpine_hut,POINT (11.84848843125215 46.5186118)
8,Mazzin,Provincia di Trento,Trentino-Alto Adige/Südtirol,Laurenzisteig,Rifugio Antermoia,Jun 20-Sep 20,+39 335 6393496,yes,60,http://www.rifugioantermoia.com/,info@rifugioantermoia.com,"['46.4769713', '46.4770985', '11.6638302', '11.6640341']","Rifugio Antermoia, Laurenzisteig, Mazzin, Comun General de Fascia, Provincia di Trento, Trentino-Alto Adige/Südtirol, 39050, Italia",alpine_hut,POINT (11.66393215 46.4770349)
9,Comunità della Paganella,Provincia di Trento,Trentino-Alto Adige/Südtirol,Sentiero attrezzato della Sega Alta,Rifugio Tosa,,,,,http://www.rifugiotosapedrotti.it/,info@rifugiotosapedrotti.it,"['46.154278', '46.1543923', '10.9007846', '10.9009615']","Rifugio Tosa, Sentiero attrezzato della Sega Alta, Molveno, Comunità della Paganella, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",guest_house,POINT (10.900873057189958 46.154335200000006)
