name;elevation;categoria;posto_riposo_emergenze;posto_letto_soci;posto_letto_non_soci;mezza_pensione_soci;mezza_pensione_non_soci;acqua
Rifugio Graffer al Grostè;2261;c;5;16;32;48;58;
Rifugio Guido Larcher al Cevedale;2607;d;5;17;34;48;58;
Rifugio Carè Alto;2450;d;5;17;34;46;56;
Rifugio Boé;2873;d;5;17;34;48;60;3,2
Rifugio Francis Fox Tuckett;2271;d;5;17;34;48;58;
"Rifugio Bocca di Trat ""Nino Pernici""";1600;c;5;16;32;44;55;
"Rifugio Altissimo ""Damiano Chiesa"",";2060;c;5;16;32;43;54;
Rifugio Mantova al Vioz;3535;e;5;19;38;56;67;3,5
Rifugio Val Di Fumo;1918;d;5;17;34;46;56;2,5
Rifugio Segantini;2373;d;5;17;34;46;56;
Rifugio Val d'Ambiez - Silvio Agostini;2410;d;5;17;34;48;58;
Rifugio Stivo Prospero Marchetti;2012;c;5;16;32;45;56;
Rifugio Stavèl Francesco Denza;2298;d;5;17;34;46;56;
"Rifugio Rosetta ""Giovanni Pedrotti""";2491;d;5;17;34;48;58;
Rifugio Silvio Dorigoni;2436;d;5;17;34;48;58;
Rifugio Peller;1990;c;5;16;32;45;56;
Rifugio San Pietro;976;a;5;15;30;43;55;
Rifugio Mandrone;2449;d;5;17;34;46;56;
Rifugio Roda di Vael;2283;c;5;16;32;47;58;
Rifugio Paludei;1059;a;;15;30;42;53;
Rifugio Taramelli;2046;c;5;16;32;43;54;
Rifugio Antermoia;2496;d;5;17;34;48;60;
Rifugio Cima d'Asta Ottone Brentari;2473;d;5;17;34;45;56;
Rifugio Ciampedie;1998;b;;15;30;45;55;
Rifugio Casarota;1572;c;5;16;32;43;54;
Rifugio Bindesi - Pino Prati;611;a;;15;30;42;53;
Rifugio XII Apostoli;2489;d;5;17;34;48;58;
Rifugio Vajolet;2243;c;5;16;32;47;58;
